student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	0
6026a39d1e99fb4b462582ed	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
6026c1b000b3a44168608704	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6026c1b000b3a44168608704	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6026c1b000b3a44168608704	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6026c1b000b3a44168608704	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6026c1b000b3a44168608704	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6026c1b000b3a44168608704	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6026c1b000b3a44168608704	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6026c1b000b3a44168608704	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6026c1b000b3a44168608704	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6026c1b000b3a44168608704	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6026c1b000b3a44168608704	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6026c1b000b3a44168608704	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6026c1b000b3a44168608704	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6026c1b000b3a44168608704	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6026c1b000b3a44168608704	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6026c1b000b3a44168608704	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
60269fc90000091560d3fce5	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
60269fc90000091560d3fce5	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
60269fc90000091560d3fce5	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
60269fc90000091560d3fce5	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
60269fc90000091560d3fce5	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
60269fc90000091560d3fce5	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
60269fc90000091560d3fce5	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
60269fc90000091560d3fce5	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
60269fc90000091560d3fce5	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
60269fc90000091560d3fce5	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
60269fc90000091560d3fce5	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
60269fc90000091560d3fce5	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
60269fc90000091560d3fce5	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
60269fc90000091560d3fce5	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6026a69de16a3a668391a48f	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6026a69de16a3a668391a48f	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6026a69de16a3a668391a48f	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6026a69de16a3a668391a48f	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6026a69de16a3a668391a48f	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6026e9d0e16a3a6685a32c6b	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6026e9d0e16a3a6685a32c6b	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6027e6d100000947c36c646f	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6027e6d100000947c36c646f	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6027e6d100000947c36c646f	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6027e6d100000947c36c646f	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6027e6d100000947c36c646f	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	0
6027e6d100000947c36c646f	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6027e6d100000947c36c646f	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6027e6d100000947c36c646f	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6027e6d100000947c36c646f	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6027e6d100000947c36c646f	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6027e6d100000947c36c646f	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6027e6d100000947c36c646f	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6027e6d100000947c36c646f	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6027e6d100000947c36c646f	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6027e6d100000947c36c646f	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6027e6d100000947c36c646f	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6027e6d100000947c36c646f	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6023568fe16a3a66840afc80	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6023568fe16a3a66840afc80	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6023568fe16a3a66840afc80	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6023568fe16a3a66840afc80	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6023568fe16a3a66840afc80	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6023568fe16a3a66840afc80	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6023568fe16a3a66840afc80	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6023568fe16a3a66840afc80	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6023568fe16a3a66840afc80	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6023568fe16a3a66840afc80	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6023568fe16a3a66840afc80	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6023568fe16a3a66840afc80	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
6026ab9515f61a6b9f399574	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6026ab9515f61a6b9f399574	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6026ab9515f61a6b9f399574	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6026ab9515f61a6b9f399574	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6026ab9515f61a6b9f399574	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6026cdede16a3a66862627f3	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6026cdede16a3a66862627f3	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6026cdede16a3a66862627f3	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6026cdede16a3a66862627f3	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6026cdede16a3a66862627f3	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
602953ca000009238d250079	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
602953ca000009238d250079	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
602953ca000009238d250079	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
602953ca000009238d250079	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	0
602953ca000009238d250079	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
602953ca000009238d250079	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
602953ca000009238d250079	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
602953ca000009238d250079	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	0
602953ca000009238d250079	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
602953ca000009238d250079	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
602953ca000009238d250079	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
602953ca000009238d250079	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
602953ca000009238d250079	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
602953ca000009238d250079	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
602953ca000009238d250079	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
602953ca000009238d250079	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
602953ca000009238d250079	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
602953ca000009238d250079	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
602953ca000009238d250079	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
60294f451e99fb53585a2a36	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
60294f451e99fb53585a2a36	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
60294f451e99fb53585a2a36	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
60294f451e99fb53585a2a36	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
60294f451e99fb53585a2a36	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
60294f451e99fb53585a2a36	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
60294f451e99fb53585a2a36	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
60294f451e99fb53585a2a36	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
60294f451e99fb53585a2a36	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
60294f451e99fb53585a2a36	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
60294f451e99fb53585a2a36	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
60294f451e99fb53585a2a36	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
60294f451e99fb53585a2a36	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
60294f451e99fb53585a2a36	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
60296b51000009238d2522e4	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
60296b51000009238d2522e4	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
60296b51000009238d2522e4	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
60296b51000009238d2522e4	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
60296b51000009238d2522e4	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
